st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible,gslo,gshi
NC,Oak Hill Elementary,370192000963,Guilford County Schools,3701920,High Point,27260,High Point,27260,Yes participating without using any Provision or the CEO,371,,368,Prekindergarten,5th Grade
WV,Oak Hill High,540030000200,FAYETTE COUNTY SCHOOLS,5400300,Oak Hill,25901,Oak Hill,25901,Yes under Community Eligibility Option (CEO),1089,622,,9th Grade,12th Grade
WV,Oak Hill Middle School,540030000172,FAYETTE COUNTY SCHOOLS,5400300,Oak Hill,25901,Oak Hill,25901,Yes under Community Eligibility Option (CEO),639,411,,6th Grade,8th Grade
OH,Oak Hill Middle/High School,390477604623,Oak Hill Union Local,3904776,Oak Hill,45656,Oak Hill,45656,Yes under Community Eligibility Option (CEO),590,255,,6th Grade,12th Grade
OR,Oak Hills Elementary School,410192001223,Beaverton SD 48J,4101920,Beaverton,97006,Beaverton,97006,Yes participating without using any Provision or the CEO,498,79,132,Kindergarten,5th Grade
OH,Oak Hills High School,390473702873,Oak Hills Local,3904737,Cincinnati,45248,Cincinnati,45248,No,2285,,,9th Grade,12th Grade
TX,OAK HILLS J H,483126013389,MONTGOMERY ISD,4831260,MONTGOMERY,77316,MONTGOMERY,77356,Yes participating without using any Provision or the CEO,1244,,288,6th Grade,8th Grade
UT,Oak Hills School,490021000137,Davis District,4900210,BOUNTIFUL,84010,BOUNTIFUL,84010,Yes participating without using any Provision or the CEO,483,,26,Prekindergarten,6th Grade
TX,OAK HILLS TERRACE EL,483312003716,NORTHSIDE ISD,4833120,SAN ANTONIO,78240,SAN ANTONIO,78240,Yes under Community Eligibility Option (CEO),421,,336,Prekindergarten,5th Grade
UT,Oak Hollow School,490014200529,Canyons District,4900142,DRAPER,84020,DRAPER,84020,Yes participating without using any Provision or the CEO,555,,50,Kindergarten,5th Grade
OH,Oak Intermediate Elementary School,390444601391,New Boston Local,3904446,New Boston,45662,New Boston,45662,Yes under Community Eligibility Option (CEO),91,46,,4th Grade,6th Grade
NJ,Oak Knoll Elementary School,341047000397,Monroe Township Public School District,3410470,WILLIAMSTOWN,08094,WILLIAMSTOWN,08094,Yes participating without using any Provision or the CEO,637,,184,Prekindergarten,4th Grade
VA,Oak Knoll Middle,510183002277,Hanover County Public Schools,5101830,Mechanicsville,23116,Mechanicsville,23116,Yes participating without using any Provision or the CEO,881,139,150,6th Grade,8th Grade
NC,Oak Lane Elementary,370363001483,Person County Schools,3703630,Hurdle Mills,27541,Hurdle Mills,27541,Yes participating without using any Provision or the CEO,223,,220,Kindergarten,5th Grade
RI,Oak Lawn School,440024000059,Cranston,4400240,Cranston,02920,Cranston,02920,Yes participating without using any Provision or the CEO,252,14,34,Kindergarten,5th Grade
UT,Oak Leaf Elementary,490042001599,Jordan District,4900420,HERRIMAN,84096,HERRIMAN,84096,Yes participating without using any Provision or the CEO,527,,65,Kindergarten,6th Grade
TX,OAK MEADOW EL,483294021108,NORTH EAST ISD,4832940,SAN ANTONIO,78231,SAN ANTONIO,78231,Yes participating without using any Provision or the CEO,400,,142,Prekindergarten,5th Grade
TX,OAK MEADOWS EL,482889011390,MANOR ISD,4828890,AUSTIN,78724,MANOR,78653,Yes under Community Eligibility Option (CEO),361,,296,Kindergarten,6th Grade
NY,OAK ORCHARD PRIMARY SCHOOL,361896001717,MEDINA CENTRAL SCHOOL DISTRICT,3618960,MEDINA,14103,MEDINA,14103,Yes under Community Eligibility Option (CEO),408,,212,Prekindergarten,2nd Grade
PA,Oak Park El Sch,421728003280,North Penn SD,4217280,Lansdale,19446,Lansdale,19446,Yes participating without using any Provision or the CEO,546,,330,Kindergarten,6th Grade
NY,OAK PARK ELEMENTARY SCHOOL,360528000256,BRENTWOOD UNION FREE SCHOOL DISTRICT,3605280,BAY SHORE,11706,BAY SHORE,11706,Yes under Community Eligibility Option (CEO),716,,620,Kindergarten,5th Grade
MO,OAK PARK HIGH,292280001286,NORTH KANSAS CITY 74,2922800,KANSAS CITY,64118,KANSAS CITY,64118,Yes participating without using any Provision or the CEO,1744,210,793,9th Grade,12th Grade
TX,OAK PARK SPECIAL EMPHASIS SCHOOL,481527001077,CORPUS CHRISTI ISD,4815270,CORPUS CHRISTI,78408,CORPUS CHRISTI,78408,Yes under Community Eligibility Option (CEO),517,,499,Prekindergarten,5th Grade
TX,OAK POINT EL,482772011461,LITTLE ELM ISD,4827720,OAK POINT,75068,OAK POINT,75068,Yes participating without using any Provision or the CEO,975,,494,Prekindergarten,5th Grade
VA,Oak Point Elementary,510352001559,Smyth County Public Schools,5103520,Marion,24354,Marion,24354,Yes under Community Eligibility Option (CEO),375,372,378,Prekindergarten,5th Grade
