st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible,gslo,gshi
WA,Tekoa High School,530879001521,Tekoa School District,5308790,TEKOA,99033,TEKOA,99033,Yes under Community Eligibility Option (CEO),92,42,62,7th Grade,12th Grade
MO,TELEGRAPH INTERMEDIATE,291623001725,JEFFERSON CO. R-VII,2916230,FESTUS,63028,FESTUS,63028,Yes participating without using any Provision or the CEO,231,17,62,3rd Grade,5th Grade
TX,TELLES ACADEMY,481830006945,EL PASO ISD,4818300,EL PASO,79930,EL PASO,79930,Yes under Community Eligibility Option (CEO),45,,42,6th Grade,12th Grade
TN,Tellico Plains Elementary,470300001200,Monroe County,4703000,Tellico Plains,37385,Tellico Plains,37385,Yes under Community Eligibility Option (CEO),334,182,,Prekindergarten,4th Grade
TN,Tellico Plains High School,470300001201,Monroe County,4703000,Tellico Plains,37385,Tellico Plains,37385,Yes under Community Eligibility Option (CEO),442,160,,9th Grade,12th Grade
TN,Tellico Plains Junior High School,470300001202,Monroe County,4703000,Tellico Plains,37385,Tellico Plains,37385,Yes under Community Eligibility Option (CEO),263,132,,5th Grade,8th Grade
NC,Telra Institute,370047203556,Telra Institute,3700472,Charlotte,28270,Charlotte,28270,Yes participating without using any Provision or the CEO,551,,52,Kindergarten,8th Grade
NC,Telra Institute RCA,370047203679,Telra Institute,3700472,Charlotte,28270,Charlotte,28270,,,,,,
VA,Temperance Elementary,510021000075,Amherst County Public Schools,5100210,Amherst,24521,Amherst,24521,Yes under Community Eligibility Option (CEO),102,82,82,Prekindergarten,5th Grade
NH,Temple Elementary School,330248000075,Contoocook Valley School District,3302480,Temple,03084,Temple,03084,Yes participating without using any Provision or the CEO,37,,10,Kindergarten,4th Grade
OK,TEMPLE ES,402964001557,TEMPLE,4029640,Temple,73568,Temple,73568,Yes under Community Eligibility Option (CEO),122,86,103,Prekindergarten,8th Grade
TX,TEMPLE H S,484233004827,TEMPLE ISD,4842330,TEMPLE,76504,TEMPLE,76504,Yes under Community Eligibility Option (CEO),2342,,1628,8th Grade,12th Grade
TN,Temple Hill Elementary,470423001722,Unicoi County,4704230,Erwin,37650,Erwin,37650,Yes under Community Eligibility Option (CEO),106,60,,Prekindergarten,5th Grade
NY,TEMPLE HILL SCHOOL,362070002913,NEWBURGH CITY SCHOOL DISTRICT,3620700,NEW WINDSOR,12553,NEW WINDSOR,12553,Yes under Community Eligibility Option (CEO),974,,669,Kindergarten,8th Grade
OK,TEMPLE HS,402964029651,TEMPLE,4029640,Temple,73568,Temple,73568,Yes under Community Eligibility Option (CEO),46,27,37,9th Grade,12th Grade
WI,Templeton Middle,550603000669,Hamilton School District,5506030,Sussex,53089,Sussex,53089,Yes participating without using any Provision or the CEO,744,,101,7th Grade,8th Grade
SC,Ten Oaks Middle,450249001680,Horry 01,4502490,Myrtle Beach,29579,Myrtle Beach,29579,Yes participating without using any Provision or the CEO,1270,558,568,6th Grade,8th Grade
WY,Ten Sleep K-12,560582000393,Washakie County School District #2,5605820,Ten Sleep,82442,Ten Sleep,82442,Yes participating without using any Provision or the CEO,102,3,28,Prekindergarten,12th Grade
NJ,Tenafly High School,341611000864,Tenafly Public School District,3416110,TENAFLY,07670,TENAFLY,07670,No,1166,,43,9th Grade,12th Grade
NJ,Tenafly Middle School,341611000872,Tenafly Public School District,3416110,TENAFLY,07670,TENAFLY,07670,No,924,,37,6th Grade,8th Grade
TX,TENAHA SCHOOLS,484236011969,TENAHA ISD,4842360,TENAHA,75974,TENAHA,75974,Yes under Community Eligibility Option (CEO),459,,412,Prekindergarten,12th Grade
NJ,Tenakill Middle School,340339000318,Closter Public School District,3403390,CLOSTER,07624,CLOSTER,07624,No,570,,13,5th Grade,8th Grade
TX,TENIE HOLMES EL,480963000415,BAY CITY ISD,4809630,BAY CITY,77414,BAY CITY,77414,Yes under Community Eligibility Option (CEO),758,,595,3rd Grade,5th Grade
WA,Tenino Elementary School,530882002241,Tenino School District,5308820,Tenino,98589,Tenino,98589,Yes under Community Eligibility Option (CEO),274,137,152,3rd Grade,5th Grade
WA,Tenino High School,530882001522,Tenino School District,5308820,Tenino,98589,Tenino,98589,Yes participating without using any Provision or the CEO,386,139,182,9th Grade,12th Grade
WA,Tenino Middle School,530882001523,Tenino School District,5308820,Tenino,98589,Tenino,98589,Yes participating without using any Provision or the CEO,311,139,166,6th Grade,8th Grade
OK,TENKILLER PUBLIC SCHOOL,402967001559,TENKILLER,4029670,Welling,74471,Welling,74471,Yes under Provision 2,166,116,136,Prekindergarten,8th Grade
TN,Tenn School For Blind,470014502138,Tennessee School for Blind,4700145,Nashville,37214,Nashville,37214,Yes participating without using any Provision or the CEO,114,55,,Prekindergarten,12th Grade
WV,Tennerton Elementary,540147001088,UPSHUR COUNTY SCHOOLS,5401470,Buckhannon,26201,Buckhannon,26201,Yes under Community Eligibility Option (CEO),304,171,,Prekindergarten,5th Grade
TN,Tennessee Connections Academy Johnson County 4-8,470216002621,Johnson County,4702160,White House,37188,White House,37188,No,1315,,,4th Grade,8th Grade
TN,Tennessee Connections Academy Johnson County 9-12,470216002622,Johnson County,4702160,White House,37188,White House,37188,No,1496,,,9th Grade,12th Grade
TN,Tennessee High School,470036000116,Bristol,4700360,Bristol,37620,Bristol,37620,Yes under Community Eligibility Option (CEO),1179,253,,9th Grade,12th Grade
TN,Tennessee Nature Academy,470015710496,Tennessee Public Charter School Commission,4700157,Nashville,37211,Nashville,37211,Yes participating without using any Provision or the CEO,113,19,,5th Grade,6th Grade
TN,Tennessee Online Public School,470036002308,Bristol,4700360,Bristol,37620,Bristol,37620,No,243,,,6th Grade,12th Grade
TN,Tennessee Online Public School at Bristol,470036002681,Bristol,4700360,Bristol,37620,Bristol,37620,No,21,,,Kindergarten,5th Grade
TN,Tennessee Online Public School at Greeneville,470150002651,Greeneville,4701500,Greeneville,37743,Greeneville,37743,No,90,,,Kindergarten,12th Grade
TN,Tennessee Ridge Elementary,470192000632,Houston County,4701920,Tenn Ridge,37178,Tenn Ridge,37178,Yes participating without using any Provision or the CEO,205,54,,Prekindergarten,5th Grade
TN,Tennessee School For Deaf Elementary School,470014602124,Tennessee Schools for the Deaf,4700146,Knoxville,37920,Knoxville,37920,Yes participating without using any Provision or the CEO,42,12,,Prekindergarten,6th Grade
TN,Tennessee School for the Deaf Nashville,470014602564,Tennessee Schools for the Deaf,4700146,Nashville,37214,Nashville,37243,No,29,,,Prekindergarten,5th Grade
TN,Tennessee School for the Deaf Upper School,470014602140,Tennessee Schools for the Deaf,4700146,Knoxville,37920,Knoxville,37920,No,63,,,7th Grade,12th Grade
TN,Tennessee Virtual Academy,470429002280,Union County,4704290,Knoxville,37918,Knoxville,37918,No,1947,,,Kindergarten,6th Grade
TN,Tennessee Virtual Junior High School,470429010444,Union County,4704290,Knoxville,37918,Knoxville,37918,No,914,,,7th Grade,9th Grade
TN,Tennessee Virtual Learning Academy,470438002403,Washington County,4704380,Johnson City,37604,Johnson City,37604,No,50,,,3rd Grade,12th Grade
TX,TENNYSON MIDDLE,484428005058,WACO ISD,4844280,WACO,76710,WACO,76710,Yes participating without using any Provision or the CEO,947,,816,6th Grade,8th Grade
WI,Tenor High,550007402637,Seeds of Health Inc,5500074,Milwaukee,53203,Milwaukee,53203,Yes under Community Eligibility Option (CEO),627,,426,9th Grade,12th Grade
PA,Tenth & Green El Sch,422004005026,Reading SD,4220040,Reading,19604,Reading,19604,Yes under Community Eligibility Option (CEO),577,,577,Prekindergarten,4th Grade
PA,Tenth & Penn El Sch,422004000284,Reading SD,4220040,Reading,19601,Reading,19601,Yes under Community Eligibility Option (CEO),365,,365,Prekindergarten,4th Grade
PA,Tenth Street El Sch,422043000295,Riverview SD,4220430,Oakmont,15139,Oakmont,15139,Yes participating without using any Provision or the CEO,390,,77,Kindergarten,6th Grade
TX,TERAVISTA EL,483808011102,ROUND ROCK ISD,4838080,ROUND ROCK,78665,ROUND ROCK,78665,Yes participating without using any Provision or the CEO,826,,166,Prekindergarten,5th Grade
NJ,Terence C. Reilly School No 7,340459000013,Elizabeth Public Schools,3404590,ELIZABETH,07206,ELIZABETH,07206,Yes participating without using any Provision or the CEO,1147,,865,2nd Grade,8th Grade
WA,Terminal Park Elementary School,530030000041,Auburn School District,5300300,AUBURN,98002,AUBURN,98002,Yes under Community Eligibility Option (CEO),549,402,420,Prekindergarten,5th Grade
UT,Terra Academy,490017901476,Terra Academy,4900179,VERNAL,84078,VERNAL,84078,Yes participating without using any Provision or the CEO,622,,140,Kindergarten,12th Grade
WV,Terra Alta/east Preston School,540117000913,PRESTON COUNTY SCHOOLS,5401170,Terra Alta,26764,Terra Alta,26764,Yes under Community Eligibility Option (CEO),303,175,,Prekindergarten,8th Grade
VA,Terra Centre Elementary,510126001842,Fairfax County Public Schools,5101260,Burke,22015,Burke,22015,Yes participating without using any Provision or the CEO,626,73,77,Prekindergarten,6th Grade
OR,Terra Linda Elementary School,410192001229,Beaverton SD 48J,4101920,Portland,97229,Portland,97229,Yes participating without using any Provision or the CEO,287,57,92,Kindergarten,5th Grade
UT,Terra Linda School,490042000327,Jordan District,4900420,WEST JORDAN,84088,WEST JORDAN,84088,Yes participating without using any Provision or the CEO,459,,217,Kindergarten,6th Grade
TX,TERRA VISTA MIDDLE,481983010945,FRENSHIP ISD,4819830,LUBBOCK,79416,WOLFFORTH,79382,Yes participating without using any Provision or the CEO,823,,538,6th Grade,8th Grade
TX,TERRACE EL,484110004699,SPRING BRANCH ISD,4841100,HOUSTON,77043,HOUSTON,77043,Yes under Community Eligibility Option (CEO),387,,291,Prekindergarten,5th Grade
WA,Terrace Heights Elementary,530537000808,East Valley School District (Yakima),5305370,Yakima,98901,Yakima,98901,Yes under Community Eligibility Option (CEO),461,260,332,Kindergarten,5th Grade
WA,Terrace Park Elementary,530240002292,Edmonds School District,5302400,MTLK TERRACE,98043,MTLK TERRACE,98043,Yes participating without using any Provision or the CEO,308,86,111,Kindergarten,6th Grade
OH,Terrace Park Elementary School,390443101242,Mariemont City,3904431,Terrace Park,45174,Terrace Park,45174,Yes participating without using any Provision or the CEO,336,,18,Prekindergarten,6th Grade
VA,Terraset Elementary,510126000573,Fairfax County Public Schools,5101260,Reston,20191,Reston,20191,Yes participating without using any Provision or the CEO,611,189,202,Prekindergarten,6th Grade
OR,Terrebonne Community School,411035000279,Redmond SD 2J,4110350,Terrebonne,97760,Terrebonne,97760,Yes under Community Eligibility Option (CEO),293,80,198,Kindergarten,5th Grade
TX,TERRELL ALTERNATIVE EDUCATION CENTER/PHOENIX SCH,484245012620,TERRELL ISD,4842450,TERRELL,75160,TERRELL,75160,Yes under Community Eligibility Option (CEO),34,,26,10th Grade,12th Grade
TX,TERRELL EL,481671005453,DENISON ISD,4816710,DENISON,75020,DENISON,75020,Yes under Community Eligibility Option (CEO),356,,282,Prekindergarten,4th Grade
TX,TERRELL EL,482658014241,LAMAR CISD,4826580,RICHMOND,77406,RICHMOND,77406,Yes participating without using any Provision or the CEO,0,,,Prekindergarten,5th Grade
TX,TERRELL H S,484245004841,TERRELL ISD,4842450,TERRELL,75160,TERRELL,75160,Yes under Community Eligibility Option (CEO),1467,,1133,9th Grade,12th Grade
NC,Terrell Lane Middle,370153000575,Franklin County Schools,3701530,Louisburg,27549,Louisburg,27549,Yes participating without using any Provision or the CEO,390,,308,6th Grade,8th Grade
TX,TERRELL WELLS MIDDLE,482247002269,HARLANDALE ISD,4822470,SAN ANTONIO,78221,SAN ANTONIO,78221,Yes under Community Eligibility Option (CEO),634,,520,6th Grade,8th Grade
NJ,Terrill Middle School,341467005680,Scotch Plains-Fanwood School District,3414670,SCOTCH PLAINS,07076,SCOTCH PLAINS,07076,No,834,,13,5th Grade,8th Grade
OR,Territorial Elementary School,410693000203,Junction City SD 69,4106930,Junction City,97448,Junction City,97448,Yes participating without using any Provision or the CEO,136,24,43,Kindergarten,5th Grade
MT,Terry High School,302595000736,Terry K-12 Schools,3025950,Terry,59349,Terry,59349,Yes participating without using any Provision or the CEO,40,,23,9th Grade,12th Grade
TX,TERRY MIDDLE,483039011201,MESQUITE ISD,4830390,MESQUITE,75181,MESQUITE,75181,Yes under Community Eligibility Option (CEO),866,,737,6th Grade,8th Grade
MT,Terry Middle School,302595001036,Terry K-12 Schools,3025950,Terry,59349,Terry,59349,Yes participating without using any Provision or the CEO,26,,8,7th Grade,8th Grade
SD,Terry Redlin Elementary - 11,466627000579,Sioux Falls School District 49-5,4666270,Sioux Falls,57103,Sioux Falls,57103,Yes participating without using any Provision or the CEO,437,198,330,Prekindergarten,5th Grade
NC,Terry Sanford High,370001102134,Cumberland County Schools,3700011,Fayetteville,28303,Fayetteville,28303,Yes participating without using any Provision or the CEO,1213,,724,9th Grade,12th Grade
MT,Terry School,302595000735,Terry K-12 Schools,3025950,Terry,59349,Terry,59349,Yes participating without using any Provision or the CEO,87,,53,Prekindergarten,6th Grade
NY,TERRY TAYLOR ELEMENTARY SCHOOL,362778003765,SPENCERPORT CENTRAL SCHOOL DISTRICT,3627780,SPENCERPORT,14559,SPENCERPORT,14559,Yes participating without using any Provision or the CEO,465,,142,Prekindergarten,5th Grade
NY,TERRYVILLE ROAD SCHOOL,361578003417,BROOKHAVEN-COMSEWOGUE UNION FREE SCHOOL DISTRICT,3615780,PORT JEFFERSON STA,11776,PORT JEFFERSON STATION,11776,Yes under Community Eligibility Option (CEO),453,,161,3rd Grade,5th Grade
NY,TESAGO ELEMENTARY SCHOOL,362667003642,SHENENDEHOWA CENTRAL SCHOOL DISTRICT,3626670,CLIFTON PARK,12065,CLIFTON PARK,12065,Yes participating without using any Provision or the CEO,397,,47,Kindergarten,5th Grade
WI,Tesla Engineering Charter School,550039002547,Appleton Area School District,5500390,Appleton,54915,Appleton,54915,Yes participating without using any Provision or the CEO,155,,32,9th Grade,12th Grade
NM,TESUQUE ELEMENTARY,350237000552,SANTA FE,3502370,TESUQUE,87506,TESUQUE,87506,Yes under Community Eligibility Option (CEO),68,29,68,Prekindergarten,6th Grade
NJ,Tewksbury Elementary School,341617000545,Tewksbury Township School District,3416170,CALIFON,07830,CALIFON,07830,No,260,,7,Prekindergarten,4th Grade
TX,TEXANS CAN ACADEMY - AUSTIN,480001609410,TEXANS CAN ACADEMIES,4800016,AUSTIN,78702,AUSTIN,78702,Yes under Community Eligibility Option (CEO),195,,113,9th Grade,12th Grade
TX,TEXANS CAN ACADEMY - CARROLLTON-FARMERS BRANCH,480001609532,TEXANS CAN ACADEMIES,4800016,FARMERS BRANCH,75234,FARMERS BRANCH,75234,Yes under Community Eligibility Option (CEO),249,,222,9th Grade,12th Grade
TX,TEXANS CAN ACADEMY - DALLAS NORTH,480001607239,TEXANS CAN ACADEMIES,4800016,DALLAS,75243,DALLAS,75243,Yes under Community Eligibility Option (CEO),260,,204,9th Grade,12th Grade
TX,TEXANS CAN ACADEMY - FORT WORTH LANCASTER AVENUE,480001609028,TEXANS CAN ACADEMIES,4800016,FORT WORTH,76114,FORT WORTH,76114,Yes under Community Eligibility Option (CEO),352,,252,9th Grade,12th Grade
TX,TEXANS CAN ACADEMY - FORT WORTH WESTCREEK,480001608908,TEXANS CAN ACADEMIES,4800016,FORT WORTH,76133,FORT WORTH,76133,Yes under Community Eligibility Option (CEO),240,,199,9th Grade,12th Grade
TX,TEXANS CAN ACADEMY - GARLAND,480001613458,TEXANS CAN ACADEMIES,4800016,GARLAND,75044,GARLAND,75044,Yes under Community Eligibility Option (CEO),130,,88,9th Grade,12th Grade
TX,TEXANS CAN ACADEMY - GRANT EAST,480001612961,TEXANS CAN ACADEMIES,4800016,DALLAS,75241,DALLAS,75241,Yes under Community Eligibility Option (CEO),212,,149,9th Grade,12th Grade
TX,TEXANS CAN ACADEMY - HOUSTON HOBBY,480001609602,TEXANS CAN ACADEMIES,4800016,DALLAS,75208,DALLAS,75208,Yes under Community Eligibility Option (CEO),311,,260,9th Grade,12th Grade
TX,TEXANS CAN ACADEMY - HOUSTON NORTH,480001607910,TEXANS CAN ACADEMIES,4800016,HOUSTON,77009,HOUSTON,77009,Yes under Community Eligibility Option (CEO),252,,203,9th Grade,12th Grade
TX,TEXANS CAN ACADEMY - HOUSTON SOUTHWEST,480001613459,TEXANS CAN ACADEMIES,4800016,HOUSTON,77071,HOUSTON,77071,Yes under Community Eligibility Option (CEO),345,,264,9th Grade,12th Grade
TX,TEXANS CAN ACADEMY - OAK CLIFF,480001607847,TEXANS CAN ACADEMIES,4800016,DALLAS,75208,DALLAS,75208,Yes under Community Eligibility Option (CEO),414,,267,9th Grade,12th Grade
TX,TEXANS CAN ACADEMY - PLEASANT GROVE,480001610548,TEXANS CAN ACADEMIES,4800016,DALLAS,75217,DALLAS,75217,Yes under Community Eligibility Option (CEO),510,,366,9th Grade,12th Grade
TX,TEXANS CAN ACADEMY - SAN ANTONIO,480001608434,TEXANS CAN ACADEMIES,4800016,SAN ANTONIO,78211,SAN ANTONIO,78211,Yes under Community Eligibility Option (CEO),138,,97,9th Grade,12th Grade
TX,TEXAS ACADEMY OF BIOMEDICAL,481970012338,FORT WORTH ISD,4819700,FORT WORTH,76102,FORT WORTH,76102,Yes under Community Eligibility Option (CEO),368,,277,9th Grade,12th Grade
NJ,Texas Avenue School,340096000018,Atlantic City School District,3400960,Atlantic City,08401,Atlantic City,08401,Yes participating without using any Provision or the CEO,499,,478,Kindergarten,8th Grade
TX,TEXAS CITY H S,484251004865,TEXAS CITY ISD,4842510,TEXAS CITY,77591,TEXAS CITY,77590,Yes under Community Eligibility Option (CEO),1721,,1249,9th Grade,12th Grade
TX,TEXAS CITY J J A E P,484251007611,TEXAS CITY ISD,4842510,DICKINSON,77539,TEXAS CITY,77592,Yes participating without using any Provision or the CEO,2,,‡,9th Grade,11th Grade
TX,TEXAS CONNECTIONS ACADEMY AT HOUSTON,482364012363,HOUSTON ISD,4823640,HOUSTON,77042,HOUSTON,77042,No,8332,,,3rd Grade,12th Grade
TX,TEXAS EARLY COLLEGE H S,480021312307,PANOLA CHARTER SCHOOL,4800213,MARSHALL,75672,MARSHALL,75672,No,93,,,8th Grade,12th Grade
TX,TEXAS EMPOWERMENT ACADEMY,480006608057,TEXAS EMPOWERMENT ACADEMY,4800066,AUSTIN,78724,AUSTIN,78721,Yes under Community Eligibility Option (CEO),253,,179,3rd Grade,12th Grade
TX,TEXAS EMPOWERMENT ACADEMY EL,480006612411,TEXAS EMPOWERMENT ACADEMY,4800066,AUSTIN,78660,AUSTIN,78660,Yes under Community Eligibility Option (CEO),178,,149,Prekindergarten,2nd Grade
TX,TEXAS H S,484248004854,TEXARKANA ISD,4842480,TEXARKANA,75503,TEXARKANA,75503,Yes under Community Eligibility Option (CEO),1762,,1175,9th Grade,12th Grade
TX,TEXAS LEADERSHIP OF ABILENE,480140913213,TEXAS LEADERSHIP PUBLIC SCHOOLS,4801409,ABILENE,79603,SAN ANGELO,76906,Yes participating without using any Provision or the CEO,870,,588,Kindergarten,12th Grade
TX,TEXAS LEADERSHIP OF MIDLAND,480140912979,TEXAS LEADERSHIP PUBLIC SCHOOLS,4801409,MIDLAND,79703,SAN ANGELO,76906,Yes participating without using any Provision or the CEO,830,,404,Kindergarten,12th Grade
TX,TEXAS LEADERSHIP OF SAN ANGELO,480140912357,TEXAS LEADERSHIP PUBLIC SCHOOLS,4801409,SAN ANGELO,76901,SAN ANGELO,76906,Yes participating without using any Provision or the CEO,1451,,757,Kindergarten,12th Grade
TX,TEXAS MIDDLE,484248004852,TEXARKANA ISD,4842480,TEXARKANA,75503,TEXARKANA,75503,Yes under Community Eligibility Option (CEO),1361,,1037,6th Grade,8th Grade
TX,TEXAS ONLINE PREPARATORY EL,482403012936,HUNTSVILLE ISD,4824030,HUNTSVILLE,77320,HUNTSVILLE,77320,Yes participating without using any Provision or the CEO,1026,,721,3rd Grade,5th Grade
TX,TEXAS ONLINE PREPARATORY H S,482403012951,HUNTSVILLE ISD,4824030,HUNTSVILLE,77320,HUNTSVILLE,77320,Yes participating without using any Provision or the CEO,2183,,1146,9th Grade,12th Grade
TX,TEXAS ONLINE PREPARATORY MIDDLE,482403012952,HUNTSVILLE ISD,4824030,HUNTSVILLE,77320,HUNTSVILLE,77320,Yes participating without using any Provision or the CEO,2120,,1368,6th Grade,8th Grade
TX,TEXAS PREPARATORY SCHOOL,480019408645,TEXAS PREPARATORY SCHOOL,4800194,SAN MARCOS,78666,SAN MARCOS,78667,Yes under Community Eligibility Option (CEO),61,,23,Kindergarten,6th Grade
TX,TEXAS PREPARATORY SCHOOL - AUSTIN CAMPUS,480019412933,TEXAS PREPARATORY SCHOOL,4800194,AUSTIN,78723,SAN MARCOS,78667,Yes under Community Eligibility Option (CEO),37,,14,Kindergarten,6th Grade
TX,TEXAS SCHOOL FOR THE BLIND AND VISUALLY IMPAIRED,480025209536,TEXAS SCH FOR THE BLIND & VISUALLY IMPAIRED,4800252,AUSTIN,78756,AUSTIN,78756,Yes under Community Eligibility Option (CEO),123,,90,4th Grade,12th Grade
TX,TEXAS SCHOOL FOR THE DEAF,480025309537,TEXAS SCH FOR THE DEAF,4800253,AUSTIN,78704,AUSTIN,78704,Yes participating without using any Provision or the CEO,487,,237,Prekindergarten,12th Grade
TX,TEXAS SCHOOL OF THE ARTS,480028711567,TEXAS SCHOOL OF THE ARTS,4800287,EDGECLIFF VILLAGE,76134,FORT WORTH,76109,No,333,,,Kindergarten,5th Grade
TX,TEXAS TECH UNIVERSITY K-12,480148014286,TEXAS TECH UNIVERSITY K-12,4801480,LUBBOCK,79413,LUBBOCK,79409,No,724,,,Kindergarten,12th Grade
TX,TEXAS VIRTUAL ACADEMY AT HALLSVILLE,482217012918,HALLSVILLE ISD,4822170,HALLSVILLE,75650,HALLSVILLE,75650,No,16358,,,3rd Grade,12th Grade
TX,TEXHOMA EL,484254004866,TEXHOMA ISD,4842540,TEXHOMA,73960,TEXHOMA,73960,Yes participating without using any Provision or the CEO,161,,105,Prekindergarten,12th Grade
OK,TEXHOMA ES,402982001562,TEXHOMA,4029820,Texhoma,73949,Texhoma,73949,Yes participating without using any Provision or the CEO,138,18,67,Prekindergarten,8th Grade
OK,TEXHOMA HS,402982001563,TEXHOMA,4029820,Texhoma,73949,Texhoma,73949,Yes participating without using any Provision or the CEO,85,32,51,9th Grade,12th Grade
NM,TEXICO ELEMENTARY,350258000588,TEXICO,3502580,TEXICO,88135,TEXICO,88135,Yes participating without using any Provision or the CEO,251,52,87,Prekindergarten,5th Grade
NM,TEXICO HIGH,350258000589,TEXICO,3502580,TEXICO,88135,TEXICO,88135,Yes participating without using any Provision or the CEO,179,37,67,9th Grade,12th Grade
NM,TEXICO MIDDLE,350258000590,TEXICO,3502580,TEXICO,88135,TEXICO,88135,Yes participating without using any Provision or the CEO,132,22,45,6th Grade,8th Grade
TX,TEXLINE SCHOOL,484257004868,TEXLINE ISD,4842570,TEXLINE,79087,TEXLINE,79087,Yes participating without using any Provision or the CEO,217,,143,Prekindergarten,12th Grade
ND,TGU VIRTUAL ELEMENTARY SCHOOL,380004700935,TGU 60,3800047,Towner,58788,Towner,58788,No,0,,,Kindergarten,8th Grade
ND,TGU VIRTUAL HIGH SCHOOL,380004700936,TGU 60,3800047,Towner,58788,Towner,58788,No,0,,,9th Grade,12th Grade
ND,TGU-GRANVILLE ELEMENTARY SCHOOL,380004700270,TGU 60,3800047,Granville,58741,Granville,58741,Yes participating without using any Provision or the CEO,85,10,24,Prekindergarten,8th Grade
ND,TGU-GRANVILLE HIGH SCHOOL,380004700271,TGU 60,3800047,Granville,58741,Granville,58741,Yes participating without using any Provision or the CEO,37,3,11,9th Grade,12th Grade
ND,TGU-TOWNER ELEMENTARY SCHOOL,380004700498,TGU 60,3800047,Towner,58788,Towner,58788,Yes participating without using any Provision or the CEO,163,25,66,Prekindergarten,8th Grade
ND,TGU-TOWNER HIGH SCHOOL,380004700499,TGU 60,3800047,Towner,58788,Towner,58788,Yes participating without using any Provision or the CEO,64,13,26,9th Grade,12th Grade
TX,TH JOHNSON EL,484228012661,TAYLOR ISD,4842280,TAYLOR,76574,TAYLOR,76574,Yes participating without using any Provision or the CEO,363,,260,Prekindergarten,Kindergarten
OK,THACKERVILLE ES,402985001564,THACKERVILLE,4029850,Thackerville,73459,Thackerville,73459,Yes under Provision 2,126,58,85,Prekindergarten,5th Grade
OK,THACKERVILLE HS,402985001565,THACKERVILLE,4029850,Thackerville,73459,Thackerville,73459,Yes under Provision 2,88,34,61,9th Grade,12th Grade
OK,THACKERVILLE MS,402985002833,THACKERVILLE,4029850,Thackerville,73459,Thackerville,73459,Yes under Provision 2,63,28,44,6th Grade,8th Grade
VA,Thalia Elementary,510384001717,Virginia Beach City Public Schools,5103840,Virginia Beach,23452,Virginia Beach,23452,Yes under Community Eligibility Option (CEO),584,427,427,Prekindergarten,5th Grade
NC,Thanksgiving Elementary,370237003577,Johnston County Public Schools,3702370,Selma,27576,Selma,27576,Yes participating without using any Provision or the CEO,813,,810,Prekindergarten,5th Grade
NE,THAYER CENTRAL ELEMENTARY,310013201273,THAYER CENTRAL COMMUNITY SCHS,3100132,HEBRON,68370,HEBRON,68370,Yes participating without using any Provision or the CEO,240,,93,Prekindergarten,6th Grade
NE,THAYER CENTRAL HIGH SCHOOL,310013201258,THAYER CENTRAL COMMUNITY SCHS,3100132,HEBRON,68370,HEBRON,68370,Yes participating without using any Provision or the CEO,188,,58,7th Grade,12th Grade
MO,THAYER ELEM.,293144002176,WAYNESVILLE R-VI,2931440,FT LEONARD WOOD,65473,FT LEONARD WOOD,65473,Yes participating without using any Provision or the CEO,217,4,75,Kindergarten,5th Grade
MO,THAYER ELEM.,293027002068,THAYER R-II,2930270,THAYER,65791,THAYER,65791,Yes participating without using any Provision or the CEO,424,136,260,Prekindergarten,6th Grade
MO,THAYER SR. HIGH,293027002069,THAYER R-II,2930270,THAYER,65791,THAYER,65791,Yes participating without using any Provision or the CEO,345,65,179,7th Grade,12th Grade
WY,Thayne Elementary,560406000206,Lincoln County School District #2,5604060,Thayne,83127,Thayne,83127,Yes participating without using any Provision or the CEO,349,66,121,Kindergarten,3rd Grade
TN,The Academy at Hickory Hollow,470318002303,Davidson County,4703180,Antioch,37013,Antioch,37013,Yes under Community Eligibility Option (CEO),70,23,,11th Grade,12th Grade
TN,The Academy at Old Cockrill,470318002192,Davidson County,4703180,Nashville,37209,Nashville,37209,Yes under Community Eligibility Option (CEO),31,13,,9th Grade,12th Grade
TN,The Academy at Opry Mills,470318002198,Davidson County,4703180,Nashville,37214,Nashville,37214,Yes under Community Eligibility Option (CEO),31,12,,9th Grade,12th Grade
OH,The Academy for Urban Scholars,390143305688,The Academy for Urban Scholars,3901433,Columbus,43203,Columbus,43203,Yes under Community Eligibility Option (CEO),375,236,,9th Grade,12th Grade
VA,The Academy of International Studies at Rosemont,510267002843,Norfolk City Public Schools,5102670,Norfolk,23513,Norfolk,23513,Yes under Community Eligibility Option (CEO),,,,,
NC,The Academy of Moore County,370003302332,The Academy of Moore County,3700033,Aberdeen,28315,Aberdeen,28315,No,479,,,Kindergarten,5th Grade
TX,THE ACADEMY OF VIOLA DEWALT H S,482619001443,LA PORTE ISD,4826190,LA PORTE,77571,LA PORTE,77571,Yes participating without using any Provision or the CEO,168,,87,9th Grade,12th Grade
WV,The Achievement Center,540039001607,GREENBRIER COUNTY SCHOOLS,5400390,Lewisburg,24901,Lewisburg,24901,Yes under Community Eligibility Option (CEO),37,27,,6th Grade,12th Grade
TN,The Alpha School,470063001391,Claiborne County,4700630,New Tazewell,37825,New Tazewell,37825,Yes under Community Eligibility Option (CEO),135,42,,Prekindergarten,Prekindergarten
